"filename", "language", "Python", "Markdown", "YAML", "CSV", "pip requirements", "Properties", "JSON", "Shell Script", "comment", "blank", "total"
"c:\Users\chait\Desktop\Anki-auto\Readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\chait\Desktop\Anki-auto\configs\args_akane.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\chait\Desktop\Anki-auto\main.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 3, 6, 14
"c:\Users\chait\Desktop\Anki-auto\processing_anki\__init__.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 11, 5, 40
"c:\Users\chait\Desktop\Anki-auto\processing_anki\anki_card.py", "Python", 65, 0, 0, 0, 0, 0, 0, 0, 1, 13, 79
"c:\Users\chait\Desktop\Anki-auto\processing_anki\fields.py", "Python", 51, 0, 0, 0, 0, 0, 0, 0, 2, 7, 60
"c:\Users\chait\Desktop\Anki-auto\processing_anki\text_processing.py", "Python", 91, 0, 0, 0, 0, 0, 0, 0, 12, 17, 120
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\.github\workflows\publish-pip.yml", "YAML", 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 34
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\.github\workflows\pylint.yml", "YAML", 0, 0, 24, 0, 0, 0, 0, 0, 1, 7, 32
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\.github\workflows\release.yml", "YAML", 0, 0, 35, 0, 0, 0, 0, 0, 0, 7, 42
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\.pre-commit-config.yaml", "YAML", 0, 0, 35, 0, 0, 0, 0, 0, 6, 6, 47
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\CODE_OF_CONDUCT.md", "Markdown", 0, 93, 0, 0, 0, 0, 0, 0, 0, 36, 129
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\README.md", "Markdown", 0, 193, 0, 0, 0, 0, 0, 0, 0, 80, 273
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\README_CN.md", "Markdown", 0, 194, 0, 0, 0, 0, 0, 0, 0, 83, 277
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\cog.yaml", "YAML", 0, 0, 19, 0, 0, 0, 0, 0, 1, 3, 23
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\cog_predict.py", "Python", 124, 0, 0, 0, 0, 0, 0, 0, 7, 18, 149
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\docs\CONTRIBUTING.md", "Markdown", 0, 32, 0, 0, 0, 0, 0, 0, 0, 13, 45
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\docs\FAQ.md", "Markdown", 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\docs\Training.md", "Markdown", 0, 204, 0, 0, 0, 0, 0, 0, 0, 68, 272
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\docs\Training_CN.md", "Markdown", 0, 204, 0, 0, 0, 0, 0, 0, 0, 68, 272
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\docs\anime_comparisons.md", "Markdown", 0, 49, 0, 0, 0, 0, 0, 0, 0, 18, 67
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\docs\anime_comparisons_CN.md", "Markdown", 0, 48, 0, 0, 0, 0, 0, 0, 0, 21, 69
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\docs\anime_model.md", "Markdown", 0, 48, 0, 0, 0, 0, 0, 0, 0, 21, 69
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\docs\anime_video_model.md", "Markdown", 0, 95, 0, 0, 0, 0, 0, 0, 0, 42, 137
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\docs\feedback.md", "Markdown", 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\docs\model_zoo.md", "Markdown", 0, 34, 0, 0, 0, 0, 0, 0, 0, 16, 50
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\docs\ncnn_conversion.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\inference.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\inference_realesrgan.py", "Python", 147, 0, 0, 0, 0, 0, 0, 0, 6, 17, 170
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\inference_realesrgan_video.py", "Python", 335, 0, 0, 0, 0, 0, 0, 0, 7, 57, 399
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\options\finetune_realesrgan_x4plus.yml", "YAML", 0, 0, 130, 0, 0, 0, 0, 0, 35, 24, 189
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\options\finetune_realesrgan_x4plus_pairdata.yml", "YAML", 0, 0, 100, 0, 0, 0, 0, 0, 32, 19, 151
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\options\train_realesrgan_x2plus.yml", "YAML", 0, 0, 128, 0, 0, 0, 0, 0, 35, 24, 187
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\options\train_realesrgan_x4plus.yml", "YAML", 0, 0, 127, 0, 0, 0, 0, 0, 35, 24, 186
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\options\train_realesrnet_x2plus.yml", "YAML", 0, 0, 94, 0, 0, 0, 0, 0, 30, 22, 146
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\options\train_realesrnet_x4plus.yml", "YAML", 0, 0, 93, 0, 0, 0, 0, 0, 30, 22, 145
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\__init__.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\archs\__init__.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 3, 2, 11
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\archs\discriminator_arch.py", "Python", 48, 0, 0, 0, 0, 0, 0, 0, 7, 13, 68
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\archs\srvgg_arch.py", "Python", 52, 0, 0, 0, 0, 0, 0, 0, 7, 11, 70
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\data\__init__.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 3, 2, 11
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\data\realesrgan_dataset.py", "Python", 147, 0, 0, 0, 0, 0, 0, 0, 24, 22, 193
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\data\realesrgan_paired_dataset.py", "Python", 78, 0, 0, 0, 0, 0, 0, 0, 14, 17, 109
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\models\__init__.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 3, 2, 11
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\models\realesrgan_model.py", "Python", 191, 0, 0, 0, 0, 0, 0, 0, 41, 27, 259
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\models\realesrnet_model.py", "Python", 138, 0, 0, 0, 0, 0, 0, 0, 33, 18, 189
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\train.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 1, 3, 12
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\realesrgan\utils.py", "Python", 244, 0, 0, 0, 0, 0, 0, 0, 24, 46, 314
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\requirements.txt", "pip requirements", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\scripts\extract_subimages.py", "Python", 112, 0, 0, 0, 0, 0, 0, 0, 2, 22, 136
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\scripts\generate_meta_info.py", "Python", 49, 0, 0, 0, 0, 0, 0, 0, 2, 8, 59
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\scripts\generate_meta_info_pairdata.py", "Python", 39, 0, 0, 0, 0, 0, 0, 0, 2, 9, 50
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\scripts\generate_multiscale_DF2K.py", "Python", 37, 0, 0, 0, 0, 0, 0, 0, 3, 9, 49
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\scripts\pytorch2onnx.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 4, 7, 37
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\setup.cfg", "Properties", 0, 0, 0, 0, 0, 26, 0, 0, 2, 6, 34
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\setup.py", "Python", 81, 0, 0, 0, 0, 0, 0, 0, 4, 23, 108
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\tests\data\test_realesrgan_dataset.yml", "YAML", 0, 0, 24, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\tests\data\test_realesrgan_model.yml", "YAML", 0, 0, 89, 0, 0, 0, 0, 0, 12, 15, 116
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\tests\data\test_realesrgan_paired_dataset.yml", "YAML", 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\tests\data\test_realesrnet_model.yml", "YAML", 0, 0, 55, 0, 0, 0, 0, 0, 8, 13, 76
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\tests\test_dataset.py", "Python", 102, 0, 0, 0, 0, 0, 0, 0, 26, 24, 152
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\tests\test_discriminator_arch.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 2, 6, 20
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\tests\test_model.py", "Python", 92, 0, 0, 0, 0, 0, 0, 0, 20, 15, 127
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\Real-ESRGAN\tests\test_utils.py", "Python", 62, 0, 0, 0, 0, 0, 0, 0, 13, 13, 88
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\__init__.py", "Python", 77, 0, 0, 0, 0, 0, 0, 0, 8, 12, 97
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\image_processing.py", "Python", 281, 0, 0, 0, 0, 0, 0, 0, 20, 49, 350
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\.github\FUNDING.yml", "YAML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\.github\workflows\main.yml", "YAML", 0, 0, 25, 0, 0, 0, 0, 0, 0, 8, 33
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\.github\workflows\publish-to-pypi.yml", "YAML", 0, 0, 107, 0, 0, 0, 0, 0, 3, 12, 122
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\.github\workflows\ruff.yml", "YAML", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\README.md", "Markdown", 0, 102, 0, 0, 0, 0, 0, 0, 0, 38, 140
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\assets\fonts.csv", "CSV", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\assets\len_to_p.csv", "CSV", 0, 0, 0, 251, 0, 0, 0, 0, 0, 1, 252
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\assets\lines_example.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\assets\vocab.csv", "CSV", 0, 0, 0, 5451, 0, 0, 0, 0, 0, 1, 5452
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\main.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 3, 3, 17
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr\__init__.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr\__main__.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr\_version.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr\ocr.py", "Python", 48, 0, 0, 0, 0, 0, 0, 0, 0, 14, 62
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr\run.py", "Python", 103, 0, 0, 0, 0, 0, 0, 0, 4, 33, 140
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\README.md", "Markdown", 0, 80, 0, 0, 0, 0, 0, 0, 0, 19, 99
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\data\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\data\generate_backgrounds.py", "Python", 64, 0, 0, 0, 0, 0, 0, 0, 0, 23, 87
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\data\process_manga109s.py", "Python", 85, 0, 0, 0, 0, 0, 0, 0, 0, 21, 106
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\env.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\requirements.txt", "pip requirements", 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\synthetic_data_generator\README.md", "Markdown", 0, 29, 0, 0, 0, 0, 0, 0, 0, 9, 38
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\synthetic_data_generator\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\synthetic_data_generator\generator.py", "Python", 162, 0, 0, 0, 0, 0, 0, 0, 4, 37, 203
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\synthetic_data_generator\renderer.py", "Python", 279, 0, 0, 0, 0, 0, 0, 0, 9, 57, 345
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\synthetic_data_generator\run_generate.py", "Python", 50, 0, 0, 0, 0, 0, 0, 0, 0, 17, 67
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\synthetic_data_generator\scan_fonts.py", "Python", 51, 0, 0, 0, 0, 0, 0, 0, 0, 21, 72
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\synthetic_data_generator\utils.py", "Python", 40, 0, 0, 0, 0, 0, 0, 0, 0, 17, 57
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\training\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\training\dataset.py", "Python", 153, 0, 0, 0, 0, 0, 0, 0, 1, 32, 186
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\training\get_model.py", "Python", 53, 0, 0, 0, 0, 0, 0, 0, 3, 16, 72
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\training\metrics.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 0, 8, 33
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\training\train.py", "Python", 51, 0, 0, 0, 0, 0, 0, 0, 2, 12, 65
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\manga_ocr_dev\training\utils.py", "Python", 34, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\tests\data\expected_results.json", "JSON", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 50
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\tests\generate_expected_results.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 0, 11, 27
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\manga_ocr_master\tests\test_ocr.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\chait\Desktop\Anki-auto\processing_ocr\ocr.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 3, 3, 18
"Total", "-", 4003, 1430, 1136, 5711, 34, 26, 50, 1, 577, 1631, 14599